countries,categories
ALB,Orthodox
ARE,Islamic
ARG,LatinAmerica
ARM,Orthodox
AUS,English
AUT,Catholic
AZE,Islamic
BEL,Catholic
BGD,Islamic
BGR,Orthodox
BIH,Orthodox
BLR,Orthodox
BOL,LatinAmerica
BRA,LatinAmerica
CAN,English
CHE,Protestant
CHL,LatinAmerica
CHN,Confucian
COL,LatinAmerica
CRI,LatinAmerica
CYP,Orthodox
CZE,Catholic
DEU,Protestant
DNK,Protestant
DOM,LatinAmerica
DZA,Islamic
ECU,LatinAmerica
EGY,Islamic
ESP,Catholic
EST,Baltic
FIN,Protestant
FRA,Catholic
GBR,English
GEO,Orthodox
GRC,Orthodox
GTM,LatinAmerica
HKG,Confucian
HND,LatinAmerica
HRV,Catholic
HUN,Catholic
IDN,Islamic
IND,SouthAsia
IRL,English
IRN,Islamic
IRQ,Islamic
ISL,Protestant
ISR,
ITA,Catholic
JAM,LatinAmerica
JOR,Islamic
JPN,Confucian
KAZ,Islamic
KEN,Islamic
KHM,SouthAsia
KOR,Confucian
KWT,Islamic
LBN,Islamic
LKA,SouthAsia
LTU,Baltic
LUX,Catholic
LVA,Baltic
MAC,Confucian
MAR,Islamic
MDA,Orthodox
MEX,LatinAmerica
MKD,Orthodox
MLT,Catholic
MNG,Confucian
MNE,Orthodox
MUS,SouthAsia
MYS,Islamic
NCL,Catholic
NLD,Protestant
NOR,Protestant
NPL,SouthAsia
NZL,English
PAK,Islamic
PAN,LatinAmerica
PER,LatinAmerica
PHL,LatinAmerica
POL,Catholic
PRI,LatinAmerica
PRT,Catholic
PRY,LatinAmerica
PSE,Islamic
QAT,Islamic
REU,Catholic
ROU,Orthodox
RUS,Orthodox
SAU,Islamic
SGP,SouthAsia
SLV,LatinAmerica
SRB,Orthodox
SVK,Catholic
SVN,Catholic
SWE,Protestant
THA,SouthAsia
TTO,LatinAmerica
TUN,Islamic
TUR,Islamic
TWN,Confucian
UKR,Orthodox
URY,LatinAmerica
USA,English
VEN,LatinAmerica
VNM,SouthAsia
ZAF,Islamic
