,id,culture,continent
0,0,,
1,0.1,,
2,0.1.2,,
3,0.1.2.3,,
4,0.1.2.4,,
5,0.1.2.3.5,,
6,0.1.2.3.6,,
7,0.1.2.4.7,,
8,0.1.2.3.6.8,,
9,0.1.2.3.5.9,,
10,0.1.2.3.6.8.10,,
11,0.1.2.3.5.11,,
12,0.1.2.3.6.8.12,,
13,0.1.2.3.6.13,,
14,0.1.2.3.6.8.10.Uzbekistan,,AS
15,0.1.2.3.5.9.Ukraine,Orthodox,EU
16,0.Turkmenistan,,AS
17,0.1.2.3.6.8.10.Tajikistan,,AS
18,0.1.2.3.6.13.Russian Federation,Orthodox,EU
19,0.1.2.3.5.9.Moldova,Orthodox,EU
20,0.1.2.3.5.11.Latvia,Baltic,EU
21,0.1.Lithuania,Baltic,EU
22,0.1.2.3.6.8.12.Kazakhstan,Islamic,AS
23,0.1.2.3.6.8.12.Kyrgyzstan,,AS
24,0.1.2.4.7.Georgia,Orthodox,AS
25,0.1.2.3.5.11.Estonia,Baltic,EU
26,0.1.2.3.6.13.Belarus,Orthodox,EU
27,0.1.2.4.Azerbaijan,Islamic,AS
28,0.1.2.4.7.Armenia,Orthodox,AS
